,,Posición,Tipo de salida,Marca temporal,Team,Fecha,Comentarios generales,Horario de intervención,M101 - SN del módulo,M101 - Ángulo (RA),M102 - SN del módulo,M102 - Ángulo (RA),M103 - SN del módulo,M103 - Ángulo (RA),SN Panel Solar,SN Regulador,SN Batería 1,SN Batería 2,Comentarios (Deployment Cañerias),SN Battery Box,Instalación de térmica,M101 - SN del ekit,M102 - SN del ekit,M103 - SN del ekit,SN Distribuidora,Cableado de Superficie,Descripción de la tarea,M101 - Ekit viejo,M101 - Ekit nuevo,M102 - Ekit viejo,M103 - Ekit viejo,M102 - Ekit nuevo,M103 - Ekit nuevo,Distribuidora vieja,Distribuidora nueva,Regulador viejo,Regulador nuevo,Panel Solar viejo,Panel Solar nuevo,Se apagó UUB? ,Otros comentarios,Mikrotik vieja,Mikrotik nueva,,M101 instalado por:,M102 instalado por:,M103 instalado por:,Cableado Subterraneo,Maleza,Erosión,Acceso,Reporta,Se colocó cable de tierra entre BBox de AMIGA y SD?,Fotos (Opcional),Comentarios (Deployment Módulos),Comentarios (Deployment Potencia),Comentarios (Deployment Ekits),Comentarios (Cableado Superficie),Comentarios (Cableado Subterraneo),Fotos (Opcional),Fotos (Opcional),Añadir fotos:
Salida a Campo AMIGA - 09-05-2023,"# LOCOS (id=1627) - mar 09/05/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda
### Reporta: Gustavo Rios
### Hora: 12:45
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Intermedio
- Erosión: Sin erosión
- Acceso: Intermedio
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Marcado de pozos para módulos
",LOCOS (id=1627),Mantenimiento general,9/05/2023 14:23:32,"Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda",9/05/2023,,12:45:00,,,,,,,,,,,,,,,,,,,Marcado de pozos para módulos,,,,,,,,,,,,,No,,,,,,,,,Intermedio,Sin erosión,Intermedio,Gustavo Rios,,,,,,,,,,
Salida a Campo AMIGA - 10-05-2023,"# NIELS BOHR (id=1772) - mié 10/05/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Luciana Torres, Maximiliano Maciel, Nicolas Sepúlveda
### Reporta: Luciana Torres
### Hora: 15:00
### Comentarios generales: Nublado
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Deployment Cañerías
   - Comentarios: Todo OK 
",NIELS BOHR (id=1772),Deployment Cañerías,10/05/2023 14:26:29,"Agustin Morales, Luciana Torres, Maximiliano Maciel, Nicolas Sepúlveda",10/05/2023,Nublado,15:00:00,,,,,,,,,,,Todo OK ,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 10-05-2023,"# ABELARDO (id=707) - mié 10/05/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Luciana Torres, Maximiliano Maciel, Nicolas Sepúlveda
### Reporta: Luciana Torres
### Hora: 15:00
### Comentarios generales: Nublado
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Deployment Cañerías
   - Comentarios: Todo OK.
",ABELARDO (id=707),Deployment Cañerías,10/05/2023 14:30:39,"Agustin Morales, Luciana Torres, Maximiliano Maciel, Nicolas Sepúlveda",10/05/2023,Nublado,15:00:00,,,,,,,,,,,Todo OK.,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 10-05-2023,"# VALENTIN JR. (id=1830) - mié 10/05/2023
## Salida a Campo - Team AMIGA
### Team: Agustin Morales, Luciana Torres, Maximiliano Maciel, Nicolas Sepúlveda
### Reporta: Luciana Torres
### Hora: 15:00
### Comentarios generales: Nublado 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Deployment Cañerías
   - Comentarios: Todo OK. 
",VALENTIN JR. (id=1830),Deployment Cañerías,10/05/2023 14:39:47,"Agustin Morales, Luciana Torres, Maximiliano Maciel, Nicolas Sepúlveda",10/05/2023,Nublado ,15:00:00,,,,,,,,,,,Todo OK. ,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 19-05-2023,"# CORRIENTES (id=93) - vie 19/05/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales
### Reporta: Gabriel Morales
### Hora: 10:25
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Distribuidora vieja: SN 0002 --> Nuevo: SN 0037
   - Descripción de la tarea: Cambio de distribuidora. Se realizo conexión y cañería nueva de SD corrientes a SD Oye.
",CORRIENTES (id=93),Mantenimiento general,22/05/2023 10:02:58,"Gustavo Rios, Gabriel Morales, Agustin Morales",19/05/2023,,10:25:00,,,,,,,,,,,,,,,,,,,Cambio de distribuidora. Se realizo conexión y cañería nueva de SD corrientes a SD Oye.,,,,,,,SN 0002,SN 0037,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gabriel Morales,,,,,,,,,,
Salida a Campo AMIGA - 19-05-2023,"# OYE (id=710) - vie 19/05/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales
### Reporta: Gabriel Morales
### Hora: 10:10
### Comentarios generales: 
### Se apagó UUB?: Si 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Cableado de Superficie
   - Cableado: T1, Serie, Power, Eth (x4)
   - Se colocó cable de tierra entre BBox de AMIGA y SD?: 
   - Comentarios: Se apago UUB, se realizó conexión y cañeria nueva(T1, POE, SERIE Y 4 ETH) de SD Corrientes a SD Oye.
",OYE (id=710),Cableado de Superficie,22/05/2023 10:06:50,"Gustavo Rios, Gabriel Morales, Agustin Morales",19/05/2023,,10:10:00,,,,,,,,,,,,,,,,,,"T1, Serie, Power, Eth (x4)",,,,,,,,,,,,,,Si,,,,,,,,,Leve,Sin erosión,Fácil,Gabriel Morales,,,,,,"Se apago UUB, se realizó conexión y cañeria nueva(T1, POE, SERIE Y 4 ETH) de SD Corrientes a SD Oye.",,,,
Salida a Campo AMIGA - 19-05-2023,"# PEA (id=698) - vie 19/05/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales
### Reporta: Gabriel Morales
### Hora: 12:30
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Chequeo General de conexion de BB a Modulos y chequeo en piletas por roedores. Posiblemente cambio de cables de modulos.
",PEA (id=698),Mantenimiento general,22/05/2023 10:12:06,"Gustavo Rios, Gabriel Morales, Agustin Morales",19/05/2023,,12:30:00,,,,,,,,,,,,,,,,,,,Chequeo General de conexion de BB a Modulos y chequeo en piletas por roedores. Posiblemente cambio de cables de modulos.,,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gabriel Morales,,,,,,,,,,
Salida a Campo AMIGA - 30-05-2023,"# LUISA (id=702) - mar 30/05/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres, Maximiliano Maciel
### Reporta: Luciana Torres
### Hora: 09:20
### Comentarios generales: Nublado 
### Se apagó UUB?: Si 
- Maleza: Intermedio
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Cableado de Superficie
   - Cableado: T1, Serie, Power, Eth (x4)
   - Se colocó cable de tierra entre BBox de AMIGA y SD?: 
   - Comentarios: Cambio de manojo de cable, por cable mallado. 
",LUISA (id=702),Cableado de Superficie,30/05/2023 13:52:04,"Gabriel Morales, Luciana Torres, Maximiliano Maciel",30/05/2023,Nublado ,9:20:00,,,,,,,,,,,,,,,,,,"T1, Serie, Power, Eth (x4)",,,,,,,,,,,,,,Si,,,,,,,,,Intermedio,Sin erosión,Fácil,Luciana Torres,,,,,,"Cambio de manojo de cable, por cable mallado. ",,,,
Salida a Campo AMIGA - 13-06-2023,"# ESPERANZA (id=1625) - mar 13/06/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda
### Reporta: Gustavo Rios
### Hora: 10:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Deployment Módulos
   - M101 - SN: M-128 / Ángulo (RA): 1° (N)
   - M102 - SN: M-130 / Ángulo (RA): 90° (E)
   - M103 - SN: M-129 / Ángulo (RA): 90° (E)
   - Comentarios: Poca durabilidad de baterías de percha para movimiento de módulos. Necesario comprar nuevas.
",ESPERANZA (id=1625),Deployment Módulos,13/06/2023 15:59:54,"Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda",13/06/2023,,10:00:00,M-128,1° (N),M-130,90° (E),M-129,90° (E),,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gustavo Rios,,,Poca durabilidad de baterías de percha para movimiento de módulos. Necesario comprar nuevas.,,,,,,,
Salida a Campo AMIGA - 14-06-2023,"# LOCOS (id=1627) - mié 14/06/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales, Maximiliano Maciel
### Reporta: Gustavo Rios
### Hora: 11:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Deployment Módulos
   - M101 - SN: M-125 / Ángulo (RA): 1° (N)
   - M102 - SN: M-127 / Ángulo (RA): 90° (E)
   - M103 - SN: M-126 / Ángulo (RA): 90° (E)
   - Comentarios: Traslado de módulos desde huella cercana al SD, hasta el pozo ( distancia de movimiento a pie y retroexcavadora, con percha y un módulo por viaje cerca de 30 m aprox. ) Se realizaron 3 viajes. Sin inconvenientes. Es importante tener baterías en buen estado.
",LOCOS (id=1627),Deployment Módulos,14/06/2023 15:41:29,"Gustavo Rios, Gabriel Morales, Agustin Morales, Maximiliano Maciel",14/06/2023,,11:00:00,M-125,1° (N),M-127,90° (E),M-126,90° (E),,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gustavo Rios,,,"Traslado de módulos desde huella cercana al SD, hasta el pozo ( distancia de movimiento a pie y retroexcavadora, con percha y un módulo por viaje cerca de 30 m aprox. ) Se realizaron 3 viajes. Sin inconvenientes. Es importante tener baterías en buen estado.",,,,,,,
Salida a Campo AMIGA - 15-06-2023,"# LOCOS (id=1627) - jue 15/06/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 10:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Deployment Cañerías
   - Comentarios: Todo en perfecto estado, sin inconvenientes. 
",LOCOS (id=1627),Deployment Cañerías,15/06/2023 14:47:59,"Gustavo Rios, Gabriel Morales, Luciana Torres",15/06/2023,,10:00:00,,,,,,,,,,,"Todo en perfecto estado, sin inconvenientes. ",,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 15-06-2023,"# ESPERANZA (id=1625) - jue 15/06/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 11:30
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Deployment Cañerías
   - Comentarios: Todo perfecto, sin inconvenientes. 
",ESPERANZA (id=1625),Deployment Cañerías,15/06/2023 14:49:29,"Gustavo Rios, Gabriel Morales, Luciana Torres",15/06/2023,,11:30:00,,,,,,,,,,,"Todo perfecto, sin inconvenientes. ",,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 15-06-2023,"# F. CONTRER (id=1775) - jue 15/06/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 12:50
### Comentarios generales: Soleado 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Chequear M-102. Se encontró un mal crimpeado en el BBox
",F. CONTRER (id=1775),Mantenimiento general,15/06/2023 14:51:53,"Gustavo Rios, Gabriel Morales, Luciana Torres",15/06/2023,Soleado ,12:50:00,,,,,,,,,,,,,,,,,,,Chequear M-102. Se encontró un mal crimpeado en el BBox,,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 28-06-2023,"# ROSALIA (id=695) - mié 28/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 10:14
### Comentarios generales: Nublado
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Medidas de distancia y ángulos de los módulos, a la orilla del tanque.
M101= 7.30m. 10°Negro. 55° Rojo 
M102= 5,94m.  3°Negro.  15°Rojo 
M103 = 7,20m.  3°Negro. 15° Rojo 
Relevamiento; 
Potencia= No 
Cámaras = No 
Cable mallado = No 
Tubos = Ok 
",ROSALIA (id=695),Mantenimiento general,28/06/2023 15:34:36,"Gabriel Morales, Luciana Torres",28/06/2023,Nublado,10:14:00,,,,,,,,,,,,,,,,,,,"Medidas de distancia y ángulos de los módulos, a la orilla del tanque.
M101= 7.30m. 10°Negro. 55° Rojo 
M102= 5,94m.  3°Negro.  15°Rojo 
M103 = 7,20m.  3°Negro. 15° Rojo 
Relevamiento; 
Potencia= No 
Cámaras = No 
Cable mallado = No 
Tubos = Ok ",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 28-06-2023,"# GIORGIO MA (id=1766) - mié 28/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 10:42
### Comentarios generales: Clima: nublado 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,40m 10°Negro 50°Rojo
M102: 6,10m. 3°Negro.  20°Rojo 
M103: 7,50m.  3°Negro. 15°Rojo 
Relevamiento; 
•Potencia: Si 
•Camaras : Si 
• Mallado: No 
•Tubos: Okey. 
",GIORGIO MA (id=1766),Mantenimiento general,28/06/2023 15:39:01,"Gabriel Morales, Luciana Torres",28/06/2023,Clima: nublado ,10:42:00,,,,,,,,,,,,,,,,,,,"Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,40m 10°Negro 50°Rojo
M102: 6,10m. 3°Negro.  20°Rojo 
M103: 7,50m.  3°Negro. 15°Rojo 
Relevamiento; 
•Potencia: Si 
•Camaras : Si 
• Mallado: No 
•Tubos: Okey. ",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 28-06-2023,"# VALENTIN C (id=1768) - mié 28/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 11:10
### Comentarios generales: Clima: nublado 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,50m 9,2°Negro 55°Rojo
M102: 6,30m. 3°Negro.  15°Rojo 
M103: 7,80m.  2°Negro. 15°Rojo 
Relevamiento; 
•Potencia: No
•Camaras : No
• Mallado: No 
•Tubos: Okey. 
",VALENTIN C (id=1768),Mantenimiento general,28/06/2023 15:41:08,"Gabriel Morales, Luciana Torres",28/06/2023,Clima: nublado ,11:10:00,,,,,,,,,,,,,,,,,,,"Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,50m 9,2°Negro 55°Rojo
M102: 6,30m. 3°Negro.  15°Rojo 
M103: 7,80m.  2°Negro. 15°Rojo 
Relevamiento; 
•Potencia: No
•Camaras : No
• Mallado: No 
•Tubos: Okey. ",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 28-06-2023,"# NIELS BOHR (id=1772) - mié 28/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 11:30
### Comentarios generales: Clima: nublado 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,60m 9,3°Negro 54°Rojo
M102: 6,40m. 3,1°Negro.  15,2°Rojo 
M103: 7,70m.  2,3°Negro. 15°Rojo 
Relevamiento; 
•Potencia: No
•Camaras : No
• Mallado: No 
•Tubos: Okey.
",NIELS BOHR (id=1772),Mantenimiento general,28/06/2023 15:43:17,"Gabriel Morales, Luciana Torres",28/06/2023,Clima: nublado ,11:30:00,,,,,,,,,,,,,,,,,,,"Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,60m 9,3°Negro 54°Rojo
M102: 6,40m. 3,1°Negro.  15,2°Rojo 
M103: 7,70m.  2,3°Negro. 15°Rojo 
Relevamiento; 
•Potencia: No
•Camaras : No
• Mallado: No 
•Tubos: Okey.",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 28-06-2023,"# ABELARDO (id=707) - mié 28/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 11:50
### Comentarios generales: Clima: nublado 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,80m 10°Negro 55°Rojo
M102: 6,30°m. 4°Negro.  20°Rojo 
M103: 7,70m.  3°Negro. 15°Rojo 
Relevamiento; 
•Potencia: No
•Camaras : No
• Mallado: No 
•Tubos: Okey.
",ABELARDO (id=707),Mantenimiento general,28/06/2023 15:45:20,"Gabriel Morales, Luciana Torres",28/06/2023,Clima: nublado ,11:50:00,,,,,,,,,,,,,,,,,,,"Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,80m 10°Negro 55°Rojo
M102: 6,30°m. 4°Negro.  20°Rojo 
M103: 7,70m.  3°Negro. 15°Rojo 
Relevamiento; 
•Potencia: No
•Camaras : No
• Mallado: No 
•Tubos: Okey.",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 28-06-2023,"# FECHE (id=736) - mié 28/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 12:20
### Comentarios generales: Clima: nublado
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 8m 9,4°Negro 55°Rojo
M102: 6,60°m. 3,2°Negro.  20°Rojo 
M103: 7,97m.  2,4°Negro. 15°Rojo 
Relevamiento; 
•Potencia: Si
•Camaras : No
• Mallado: Si 
•Tubos: Okey
",FECHE (id=736),Mantenimiento general,28/06/2023 15:47:12,"Gabriel Morales, Luciana Torres",28/06/2023,Clima: nublado,12:20:00,,,,,,,,,,,,,,,,,,,"Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 8m 9,4°Negro 55°Rojo
M102: 6,60°m. 3,2°Negro.  20°Rojo 
M103: 7,97m.  2,4°Negro. 15°Rojo 
Relevamiento; 
•Potencia: Si
•Camaras : No
• Mallado: Si 
•Tubos: Okey",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 28-06-2023,"# F. CONTRER (id=1775) - mié 28/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 12:30
### Comentarios generales: Clima: nublado 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,8m 8,4°Negro 50°Rojo
M102: 6,40°m. 4°Negro.  20°Rojo 
M103: 7,54m.  2°Negro. 10°Rojo 
Relevamiento; 
•Potencia: Si
•Camaras : No
• Mallado: Si 
•Tubos: Okey
",F. CONTRER (id=1775),Mantenimiento general,28/06/2023 15:48:42,"Gabriel Morales, Luciana Torres",28/06/2023,Clima: nublado ,12:30:00,,,,,,,,,,,,,,,,,,,"Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,8m 8,4°Negro 50°Rojo
M102: 6,40°m. 4°Negro.  20°Rojo 
M103: 7,54m.  2°Negro. 10°Rojo 
Relevamiento; 
•Potencia: Si
•Camaras : No
• Mallado: Si 
•Tubos: Okey",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 28-06-2023,"# CONSTELACI (id=1771) - mié 28/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 12:45
### Comentarios generales: Clima: nublado 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,60m 10°Negro 55°Rojo
M102: 6,10°m. 3°Negro.  15°Rojo 
M103: 7,50m.  2,3°Negro. 15°Rojo 
Relevamiento; 
•Potencia: Si
•Camaras : No
• Mallado: Si 
•Tubos: Okey
",CONSTELACI (id=1771),Mantenimiento general,28/06/2023 15:50:20,"Gabriel Morales, Luciana Torres",28/06/2023,Clima: nublado ,12:45:00,,,,,,,,,,,,,,,,,,,"Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,60m 10°Negro 55°Rojo
M102: 6,10°m. 3°Negro.  15°Rojo 
M103: 7,50m.  2,3°Negro. 15°Rojo 
Relevamiento; 
•Potencia: Si
•Camaras : No
• Mallado: Si 
•Tubos: Okey",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 28-06-2023,"# TRAUDEL (id=819) - mié 28/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 12:55
### Comentarios generales: Clima: nublado 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,40m 54°Negro 305°Rojo
M102: 6,20°m. 64°Negro.  360°Rojo 
M103: 7,70m.  62°Negro. 345°Rojo 
Relevamiento; 
•Potencia: Si
•Camaras : No
• Mallado: Si 
•Tubos: Okey
",TRAUDEL (id=819),Mantenimiento general,28/06/2023 15:52:28,"Gabriel Morales, Luciana Torres",28/06/2023,Clima: nublado ,12:55:00,,,,,,,,,,,,,,,,,,,"Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,40m 54°Negro 305°Rojo
M102: 6,20°m. 64°Negro.  360°Rojo 
M103: 7,70m.  62°Negro. 345°Rojo 
Relevamiento; 
•Potencia: Si
•Camaras : No
• Mallado: Si 
•Tubos: Okey",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
Salida a Campo AMIGA - 28-06-2023,"# PAUL SOMMERS (id=1763) - mié 28/06/2023
## Salida a Campo - Team AMIGA
### Team: Gabriel Morales, Luciana Torres
### Reporta: Luciana Torres
### Hora: 13:05
### Comentarios generales: Clima: nublado 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,30m 10°Negro 55°Rojo
M102: 5,80°m. 3°Negro.  15°Rojo 
M103: 7,35m.  2,2°Negro. 10°Rojo 
Relevamiento; 
•Potencia: Si
•Camaras : No
• Mallado: Si 
•Tubos: Okey
",PAUL SOMMERS (id=1763),Mantenimiento general,28/06/2023 15:53:48,"Gabriel Morales, Luciana Torres",28/06/2023,Clima: nublado ,13:05:00,,,,,,,,,,,,,,,,,,,"Medicion de distancias y ángulos de los módulos desde la orilla del tanque. 
M101: 7,30m 10°Negro 55°Rojo
M102: 5,80°m. 3°Negro.  15°Rojo 
M103: 7,35m.  2,2°Negro. 10°Rojo 
Relevamiento; 
•Potencia: Si
•Camaras : No
• Mallado: Si 
•Tubos: Okey",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Luciana Torres,,,,,,,,,,
