,,Posición,Tipo de salida,Marca temporal,Team,Fecha,Comentarios generales,Horario de intervención,M101 - SN del módulo,M101 - Ángulo (RA),M102 - SN del módulo,M102 - Ángulo (RA),M103 - SN del módulo,M103 - Ángulo (RA),SN Panel Solar,SN Regulador,SN Batería 1,SN Batería 2,Comentarios (Deployment Cañerias),SN Battery Box,Instalación de térmica,M101 - SN del ekit,M102 - SN del ekit,M103 - SN del ekit,SN Distribuidora,Cableado de Superficie,Descripción de la tarea,M101 - Ekit viejo,M101 - Ekit nuevo,M102 - Ekit viejo,M103 - Ekit viejo,M102 - Ekit nuevo,M103 - Ekit nuevo,Distribuidora vieja,Distribuidora nueva,Regulador viejo,Regulador nuevo,Panel Solar viejo,Panel Solar nuevo,Se apagó UUB? ,Otros comentarios,Mikrotik vieja,Mikrotik nueva,,M101 instalado por:,M102 instalado por:,M103 instalado por:,Cableado Subterraneo,Maleza,Erosión,Acceso,Reporta,Se colocó cable de tierra entre BBox de AMIGA y SD?,Fotos (Opcional),Comentarios (Deployment Módulos),Comentarios (Deployment Potencia),Comentarios (Deployment Ekits),Comentarios (Cableado Superficie),Comentarios (Cableado Subterraneo),Fotos (Opcional),Fotos (Opcional),Añadir fotos:
Salida a Campo AMIGA - 27-04-2023,"# PEA (id=698) - jue 27/04/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Maximiliano Maciel
### Reporta: Nicolás Leal
### Hora: 10:00
### Comentarios generales: 
### Se apagó UUB?: Si 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Cableado de Superficie
   - Cableado: T1, Serie, Power, Eth (x4)
   - Se colocó cable de tierra entre BBox de AMIGA y SD?: 
   - Comentarios: 
",PEA (id=698),Cableado de Superficie,8/05/2023 11:27:56,"Gustavo Rios, Gabriel Morales, Maximiliano Maciel",27/04/2023,,10:00:00,,,,,,,,,,,,,,,,,,"T1, Serie, Power, Eth (x4)",,,,,,,,,,,,,,Si,,,,,,,,,Leve,Sin erosión,Fácil,Nicolás Leal,,,,,,,,,,
Salida a Campo AMIGA - 27-04-2023,"# CONSTELACI (id=1771) - jue 27/04/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Maximiliano Maciel
### Reporta: Nicolás Leal
### Hora: 13:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: se chequeo el ekit 103 de Constelación. En ese caso no había apoyado bien el ekit en el cookie, realizamos la maniobra para colocarlo (fue básicamente unos movimientos del ekit girando de derecha a izquierda varias veces con las varillas puestas haciendo presión hacia abajo) y calzo bien.
",CONSTELACI (id=1771),Mantenimiento general,8/05/2023 11:29:31,"Gustavo Rios, Gabriel Morales, Maximiliano Maciel",27/04/2023,,13:00:00,,,,,,,,,,,,,,,,,,,"se chequeo el ekit 103 de Constelación. En ese caso no había apoyado bien el ekit en el cookie, realizamos la maniobra para colocarlo (fue básicamente unos movimientos del ekit girando de derecha a izquierda varias veces con las varillas puestas haciendo presión hacia abajo) y calzo bien.",,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Nicolás Leal,,,,,,,,,,
Salida a Campo AMIGA - 02-05-2023,"# ROSALIA (id=695) - mar 02/05/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda
### Reporta: Nicolas Leal
### Hora: 10:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: 
- Erosión: 
- Acceso: 
---------
## Tipo de salida: Deployment Módulos
   - M101 - SN: M-120 / Ángulo (RA): 0
   - M102 - SN: M-122 / Ángulo (RA): 90
   - M103 - SN: M-121 / Ángulo (RA): 90
   - Comentarios: 
",ROSALIA (id=695),Deployment Módulos,3/05/2023 16:02:39,"Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda",2/05/2023,,10:00:00,M-120,0,M-122,90,M-121,90,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Nicolas Leal,,,,,,,,,,
Salida a Campo AMIGA - 03-05-2023,"# ROSALIA (id=695) - mié 03/05/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda
### Reporta: Nicolas Leal
### Hora: 10:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: 
- Erosión: 
- Acceso: 
---------
## Tipo de salida: Deployment Cañerías
   - Comentarios: Quedó realizado el Deployment de cañerías y se dejó estaqueado para pozo de tubing.
",ROSALIA (id=695),Deployment Cañerías,3/05/2023 15:56:39,"Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda",3/05/2023,,10:00:00,,,,,,,,,,,Quedó realizado el Deployment de cañerías y se dejó estaqueado para pozo de tubing.,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Nicolas Leal,,,,,,,,,,
Salida a Campo AMIGA - 03-05-2023,"# GIORGIO MA (id=1766) - mié 03/05/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda
### Reporta: Nicolas Leal
### Hora: 12:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: 
- Erosión: 
- Acceso: 
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Se retiró ekit M103, y estaba medio acoplado. Se limpio y se volvió a colocar, la cual quedó bien acoplado. Se testearon los cables de Poe y T1 del módulo.
",GIORGIO MA (id=1766),Mantenimiento general,3/05/2023 15:58:03,"Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda",3/05/2023,,12:00:00,,,,,,,,,,,,,,,,,,,"Se retiró ekit M103, y estaba medio acoplado. Se limpio y se volvió a colocar, la cual quedó bien acoplado. Se testearon los cables de Poe y T1 del módulo.",,,,,,,,,,,,,No,,,,,,,,,,,,Nicolas Leal,,,,,,,,,,
Salida a Campo AMIGA - 03-05-2023,"# F. CONTRER (id=1775) - mié 03/05/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda
### Reporta: Nicolas Leal
### Hora: 13:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: 
- Erosión: 
- Acceso: 
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: El ekit del M102 estaba sin acoplar. Se retiró, se limpio y se volvió a colocar, realizando el acople correctamente. Se testearon Poe y T1 de módulo.
",F. CONTRER (id=1775),Mantenimiento general,3/05/2023 15:59:27,"Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda",3/05/2023,,13:00:00,,,,,,,,,,,,,,,,,,,"El ekit del M102 estaba sin acoplar. Se retiró, se limpio y se volvió a colocar, realizando el acople correctamente. Se testearon Poe y T1 de módulo.",,,,,,,,,,,,,No,,,,,,,,,,,,Nicolas Leal,,,,,,,,,,
Salida a Campo AMIGA - 04-05-2023,"# ABELARDO (id=707) - jue 04/05/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Maximiliano Maciel
### Reporta: Nicolas Leal
### Hora: 10:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Leve
- Acceso: Fácil
---------
## Tipo de salida: Deployment Módulos
   - M101 - SN: M-117 / Ángulo (RA): 1
   - M102 - SN: M-119 / Ángulo (RA): 91
   - M103 - SN: M-118 / Ángulo (RA): 91
   - Comentarios: 
",ABELARDO (id=707),Deployment Módulos,5/05/2023 10:45:33,"Gustavo Rios, Gabriel Morales, Maximiliano Maciel",4/05/2023,,10:00:00,M-117,1,M-119,91,M-118,91,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,Leve,Leve,Fácil,Nicolas Leal,,,,,,,,,,
Salida a Campo AMIGA - 05-05-2023,"# VALENTIN C (id=1768) - vie 05/05/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales, Luciana Torres
### Reporta: Gustavo Rios
### Hora: 10:15
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Deployment Módulos
   - M101 - SN: M-114 / Ángulo (RA): 1° N
   - M102 - SN: M-116 / Ángulo (RA): 91° E
   - M103 - SN: M-115 / Ángulo (RA): 91° E
   - Comentarios: 
",VALENTIN C (id=1768),Deployment Módulos,5/05/2023 15:08:08,"Gustavo Rios, Gabriel Morales, Agustin Morales, Luciana Torres",5/05/2023,,10:15:00,M-114,1° N,M-116,91° E,M-115,91° E,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gustavo Rios,,,,,,,,,,
Salida a Campo AMIGA - 05-05-2023,"# ESPERANZA (id=1625) - vie 05/05/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales, Luciana Torres
### Reporta: Gustavo Rios
### Hora: 12:45
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Mantenimiento general
   - Descripción de la tarea: Marcado de pozos
",ESPERANZA (id=1625),Mantenimiento general,5/05/2023 15:36:15,"Gustavo Rios, Gabriel Morales, Agustin Morales, Luciana Torres",5/05/2023,,12:45:00,,,,,,,,,,,,,,,,,,,Marcado de pozos,,,,,,,,,,,,,No,"Se modificó la posición normal del marcado de pozos por qué el cercado de los terrenos está junto al SD Esperanza, se marcó pozos hacia oeste (M101) y el norte (M102 y M103) del SD, además se movió 3 m hacia el norte de la posición normal de marcado.",,,,,,,,Leve,Sin erosión,Fácil,Gustavo Rios,,,,,,,,,,
Salida a Campo AMIGA - 09-05-2023,"# NIELS BOHR (id=1772) - mar 09/05/2023
## Salida a Campo - Team AMIGA
### Team: Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda
### Reporta: Gustavo Rios
### Hora: 10:00
### Comentarios generales: 
### Se apagó UUB?: No 
- Maleza: Leve
- Erosión: Sin erosión
- Acceso: Fácil
---------
## Tipo de salida: Deployment Módulos
   - M101 - SN: M-113 / Ángulo (RA): 1° (N)
   - M102 - SN: M-124 / Ángulo (RA): 91° (E)
   - M103 - SN: M-123 / Ángulo (RA): 91° (E)
   - Comentarios: 
",NIELS BOHR (id=1772),Deployment Módulos,9/05/2023 14:19:49,"Gustavo Rios, Gabriel Morales, Agustin Morales, Nicolas Sepúlveda",9/05/2023,,10:00:00,M-113,1° (N),M-124,91° (E),M-123,91° (E),,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,Leve,Sin erosión,Fácil,Gustavo Rios,,,,,,,,,,
